shelf_id,floor,x,y
Shelf_0,2F,10,21
Shelf_1,3F,34,2
Shelf_2,3F,50,9
Shelf_3,2F,22,24
Shelf_4,2F,21,2
Shelf_5,2F,10,18
Shelf_6,2F,39,26
Shelf_7,2F,11,16
Shelf_8,2F,13,10
Shelf_9,2F,48,9
Shelf_10,2F,59,6
Shelf_11,2F,33,16
Shelf_12,3F,17,2
Shelf_13,3F,50,2
Shelf_14,2F,59,14
Shelf_15,2F,30,16
Shelf_16,3F,18,18
Shelf_17,3F,36,27
Shelf_18,3F,41,8
Shelf_19,2F,29,28
Shelf_20,3F,41,23
Shelf_21,2F,21,5
Shelf_22,2F,13,20
Shelf_23,2F,38,14
Shelf_24,3F,56,13
Shelf_25,2F,26,20
Shelf_26,2F,11,20
Shelf_27,3F,21,1
Shelf_28,3F,10,6
Shelf_29,3F,32,4
Shelf_30,3F,33,18
Shelf_31,3F,29,27
Shelf_32,3F,12,8
Shelf_33,3F,40,16
Shelf_34,3F,9,13
Shelf_35,3F,15,6
Shelf_36,2F,59,19
Shelf_37,3F,26,12
Shelf_38,3F,28,8
Shelf_39,2F,14,13
Shelf_40,2F,13,14
Shelf_41,2F,47,17
Shelf_42,2F,45,6
Shelf_43,2F,44,6
Shelf_44,3F,22,2
Shelf_45,2F,37,20
Shelf_46,2F,49,10
Shelf_47,2F,23,20
Shelf_48,2F,23,23
Shelf_49,3F,10,1
Shelf_50,2F,8,8
Shelf_51,2F,36,20
Shelf_52,2F,44,12
Shelf_53,2F,19,1
Shelf_54,3F,59,7
Shelf_55,3F,12,18
Shelf_56,2F,54,2
Shelf_57,2F,46,14
Shelf_58,2F,19,14
Shelf_59,2F,8,23
Shelf_60,3F,23,1
Shelf_61,3F,59,6
Shelf_62,3F,33,6
Shelf_63,2F,42,9
Shelf_64,2F,56,1
Shelf_65,2F,37,2
Shelf_66,2F,52,4
Shelf_67,2F,12,4
Shelf_68,2F,35,8
Shelf_69,3F,51,1
Shelf_70,3F,14,4
Shelf_71,2F,13,9
Shelf_72,3F,47,23
Shelf_73,2F,44,24
Shelf_74,2F,33,18
Shelf_75,3F,50,14
Shelf_76,2F,13,6
Shelf_77,2F,26,9
Shelf_78,3F,19,9
Shelf_79,3F,41,17
Shelf_80,2F,36,13
Shelf_81,3F,57,20
Shelf_82,2F,28,24
Shelf_83,3F,20,9
Shelf_84,3F,49,20
Shelf_85,3F,39,18
Shelf_86,2F,41,24
Shelf_87,3F,14,2
Shelf_88,2F,30,2
Shelf_89,3F,55,9
Shelf_90,2F,56,13
Shelf_91,2F,31,17
Shelf_92,2F,38,20
Shelf_93,2F,13,23
Shelf_94,3F,27,27
Shelf_95,3F,33,2
Shelf_96,2F,30,23
Shelf_97,3F,53,10
Shelf_98,3F,56,10
Shelf_99,3F,23,8
Shelf_100,3F,20,8
Shelf_101,2F,21,20
Shelf_102,2F,44,17
Shelf_103,3F,31,26
Shelf_104,3F,27,9
Shelf_105,3F,40,9
Shelf_106,3F,9,5
Shelf_107,3F,28,23
Shelf_108,3F,16,17
Shelf_109,2F,47,4
Shelf_110,3F,20,2
Shelf_111,2F,24,2
Shelf_112,2F,35,13
Shelf_113,3F,59,13
Shelf_114,2F,14,24
Shelf_115,3F,36,5
Shelf_116,3F,56,9
Shelf_117,3F,56,21
Shelf_118,3F,10,14
Shelf_119,3F,42,8
Shelf_120,2F,33,17
Shelf_121,2F,8,1
Shelf_122,2F,48,12
Shelf_123,3F,37,9
Shelf_124,3F,52,20
Shelf_125,3F,10,12
Shelf_126,2F,16,6
Shelf_127,2F,40,20
Shelf_128,2F,33,30
Shelf_129,2F,24,24
Shelf_130,3F,16,4
Shelf_131,2F,56,16
Shelf_132,2F,40,6
Shelf_133,2F,54,12
Shelf_134,3F,46,6
Shelf_135,2F,8,24
Shelf_136,3F,8,1
Shelf_137,3F,35,21
Shelf_138,3F,15,2
Shelf_139,3F,56,1
Shelf_140,2F,56,12
Shelf_141,3F,48,21
Shelf_142,2F,55,2
Shelf_143,3F,10,13
Shelf_144,3F,24,12
Shelf_145,3F,20,10
Shelf_146,2F,42,14
Shelf_147,2F,50,23
Shelf_148,3F,58,1
Shelf_149,3F,53,16
Shelf_150,3F,19,24
Shelf_151,3F,23,10
Shelf_152,2F,25,1
Shelf_153,2F,32,24
Shelf_154,3F,39,16
Shelf_155,2F,12,20
Shelf_156,2F,16,12
Shelf_157,2F,49,18
Shelf_158,2F,44,21
Shelf_159,3F,57,18
Shelf_160,2F,8,21
Shelf_161,2F,27,6
Shelf_162,2F,9,4
Shelf_163,3F,42,24
Shelf_164,2F,24,1
Shelf_165,2F,9,18
Shelf_166,2F,19,24
Shelf_167,2F,25,2
Shelf_168,2F,45,8
Shelf_169,3F,29,13
Shelf_170,2F,16,23
Shelf_171,3F,21,8
Shelf_172,2F,42,16
Shelf_173,3F,57,6
Shelf_174,2F,41,20
Shelf_175,2F,59,20
Shelf_176,3F,32,20
Shelf_177,2F,20,12
Shelf_178,3F,39,23
Shelf_179,3F,21,10
Shelf_180,2F,33,13
Shelf_181,3F,48,2
Shelf_182,3F,48,9
Shelf_183,3F,42,27
Shelf_184,2F,29,26
Shelf_185,3F,10,23
Shelf_186,3F,35,4
Shelf_187,3F,27,1
Shelf_188,3F,29,26
Shelf_189,2F,29,9
Shelf_190,3F,23,16
Shelf_191,2F,59,9
Shelf_192,3F,15,23
Shelf_193,2F,57,12
Shelf_194,2F,29,8
Shelf_195,3F,35,16
Shelf_196,2F,49,12
Shelf_197,2F,24,14
Shelf_198,3F,21,12
Shelf_199,2F,46,9
Shelf_200,3F,12,16
Shelf_201,2F,9,8
Shelf_202,2F,49,20
Shelf_203,3F,43,2
Shelf_204,3F,30,14
Shelf_205,3F,37,16
Shelf_206,2F,56,9
Shelf_207,3F,57,16
Shelf_208,2F,30,18
Shelf_209,3F,39,13
Shelf_210,2F,39,1
Shelf_211,3F,56,16
Shelf_212,3F,33,8
Shelf_213,2F,38,17
Shelf_214,2F,11,5
Shelf_215,3F,32,12
Shelf_216,3F,27,23
Shelf_217,3F,48,1
Shelf_218,3F,38,6
Shelf_219,2F,27,1
Shelf_220,2F,38,10
Shelf_221,2F,15,21
Shelf_222,3F,38,4
Shelf_223,3F,29,2
Shelf_224,3F,53,17
Shelf_225,2F,35,6
Shelf_226,3F,49,21
Shelf_227,2F,23,17
Shelf_228,3F,36,12
Shelf_229,2F,27,16
Shelf_230,2F,54,18
Shelf_231,2F,8,6
Shelf_232,3F,36,9
Shelf_233,3F,19,21
Shelf_234,2F,45,13
Shelf_235,2F,38,30
Shelf_236,3F,13,24
Shelf_237,3F,24,14
Shelf_238,2F,20,2
Shelf_239,2F,27,24
Shelf_240,3F,32,13
Shelf_241,2F,22,21
Shelf_242,3F,40,26
Shelf_243,2F,57,14
Shelf_244,3F,59,18
Shelf_245,3F,38,16
Shelf_246,3F,42,6
Shelf_247,3F,11,17
Shelf_248,2F,46,23
Shelf_249,3F,30,6
Shelf_250,3F,18,2
Shelf_251,2F,36,8
Shelf_252,2F,28,18
Shelf_253,2F,35,5
Shelf_254,3F,37,4
Shelf_255,2F,37,27
Shelf_256,2F,16,13
Shelf_257,3F,48,13
Shelf_258,3F,18,4
Shelf_259,3F,37,18
Shelf_260,3F,29,18
Shelf_261,3F,28,17
Shelf_262,2F,26,30
Shelf_263,2F,41,13
Shelf_264,3F,20,16
Shelf_265,3F,44,12
Shelf_266,3F,31,21
Shelf_267,3F,31,27
Shelf_268,2F,30,28
Shelf_269,2F,41,27
Shelf_270,2F,33,21
Shelf_271,2F,37,9
Shelf_272,2F,55,21
Shelf_273,3F,12,23
Shelf_274,3F,27,28
Shelf_275,3F,46,4
Shelf_276,2F,26,6
Shelf_277,2F,11,24
Shelf_278,3F,57,2
Shelf_279,2F,53,8
Shelf_280,3F,10,5
Shelf_281,2F,13,4
Shelf_282,2F,36,23
Shelf_283,3F,31,10
Shelf_284,2F,20,13
Shelf_285,2F,9,14
Shelf_286,3F,47,1
Shelf_287,3F,40,17
Shelf_288,3F,14,8
Shelf_289,2F,20,1
Shelf_290,2F,56,17
Shelf_291,2F,48,16
Shelf_292,2F,40,24
Shelf_293,2F,41,18
Shelf_294,3F,9,4
Shelf_295,3F,29,6
Shelf_296,3F,8,4
Shelf_297,2F,38,13
Shelf_298,2F,46,1
Shelf_299,2F,42,20
Shelf_300,3F,55,23
Shelf_301,3F,57,17
Shelf_302,3F,12,12
Shelf_303,2F,42,27
Shelf_304,2F,14,12
Shelf_305,2F,23,1
Shelf_306,2F,50,5
Shelf_307,2F,52,10
Shelf_308,2F,22,18
Shelf_309,2F,40,21
Shelf_310,2F,45,23
Shelf_311,3F,13,18
Shelf_312,3F,22,5
Shelf_313,2F,36,1
Shelf_314,3F,15,16
Shelf_315,3F,45,20
Shelf_316,3F,18,14
Shelf_317,2F,30,26
Shelf_318,3F,27,20
Shelf_319,2F,37,24
Shelf_320,3F,20,20
Shelf_321,3F,40,10
Shelf_322,2F,12,2
Shelf_323,2F,39,20
Shelf_324,2F,14,14
Shelf_325,3F,20,21
Shelf_326,2F,43,2
