儲位編號,樓層,架型,架次編號,架面,層,庫位編號,庫位類型
2-01-0001-A-A01,2,1,1,A,A,1,10
2-01-0001-A-A02,2,1,1,A,A,2,10
2-01-0001-A-A03,2,1,1,A,A,3,10
2-01-0001-A-B01,2,1,1,A,B,1,10
2-01-0001-A-B02,2,1,1,A,B,2,10
2-01-0001-A-B03,2,1,1,A,B,3,10
2-01-0001-A-C01,2,1,1,A,C,1,10
2-01-0001-A-C02,2,1,1,A,C,2,10
2-01-0001-A-C03,2,1,1,A,C,3,10
2-01-0001-A-D01,2,1,1,A,D,1,10
2-01-0001-A-D02,2,1,1,A,D,2,10
2-01-0001-A-D03,2,1,1,A,D,3,10
2-01-0001-A-E01,2,1,1,A,E,1,15
2-01-0001-A-E02,2,1,1,A,E,2,15
2-01-0001-B-A01,2,1,1,B,A,1,5
2-01-0001-B-B01,2,1,1,B,B,1,5
2-01-0001-B-C01,2,1,1,B,C,1,5
2-01-0001-B-D01,2,1,1,B,D,1,5
2-01-0001-C-A01,2,1,1,C,A,1,10
2-01-0001-C-A02,2,1,1,C,A,2,10
2-01-0001-C-A03,2,1,1,C,A,3,10
2-01-0001-C-B01,2,1,1,C,B,1,10
2-01-0001-C-B02,2,1,1,C,B,2,10
2-01-0001-C-B03,2,1,1,C,B,3,10
2-01-0001-C-C01,2,1,1,C,C,1,10
2-01-0001-C-C02,2,1,1,C,C,2,10
2-01-0001-C-C03,2,1,1,C,C,3,10
2-01-0001-C-D01,2,1,1,C,D,1,10
2-01-0001-C-D02,2,1,1,C,D,2,10
2-01-0001-C-D03,2,1,1,C,D,3,10
2-01-0001-C-E01,2,1,1,C,E,1,15
2-01-0001-C-E02,2,1,1,C,E,2,15
2-01-0001-D-A01,2,1,1,D,A,1,5
2-01-0001-D-B01,2,1,1,D,B,1,5
2-01-0001-D-C01,2,1,1,D,C,1,5
2-01-0001-D-D01,2,1,1,D,D,1,5
2-01-0002-A-A01,2,1,2,A,A,1,10
2-01-0002-A-A02,2,1,2,A,A,2,10
2-01-0002-A-A03,2,1,2,A,A,3,10
2-01-0002-A-B01,2,1,2,A,B,1,10
2-01-0002-A-B02,2,1,2,A,B,2,10
2-01-0002-A-B03,2,1,2,A,B,3,10
2-01-0002-A-C01,2,1,2,A,C,1,10
2-01-0002-A-C02,2,1,2,A,C,2,10
2-01-0002-A-C03,2,1,2,A,C,3,10
2-01-0002-A-D01,2,1,2,A,D,1,10
2-01-0002-A-D02,2,1,2,A,D,2,10
2-01-0002-A-D03,2,1,2,A,D,3,10
2-01-0002-A-E01,2,1,2,A,E,1,15
2-01-0002-A-E02,2,1,2,A,E,2,15
2-01-0002-B-A01,2,1,2,B,A,1,5
2-01-0002-B-B01,2,1,2,B,B,1,5
2-01-0002-B-C01,2,1,2,B,C,1,5
2-01-0002-B-D01,2,1,2,B,D,1,5
2-01-0002-C-A01,2,1,2,C,A,1,10
2-01-0002-C-A02,2,1,2,C,A,2,10
