PARTCUSTID,PARTCUSTNM,is_sub_warehouse
A701,國都/新莊,
A702,國都/陽明,
A703,國都/中和,
A705,國都/三重,
A709,國都/土城,
A70A,國都/新莊精品,
A70B,國都/陽明精品,
A70E,國都/三重精品,
A70H,國都/天母精品,
A711,國都/林口,
A712,國都/樹林,
A713,國都/鶯歌,
A714,國都/蘆洲,
A716,國都/北永和,
A717,國都/淡水,
A719,國都/南松江,
A71A,國都/林口三井精品,
A71D,國都/蘆洲精品,
A71G,國都/淡水精品,
A720,國都/北板橋,
A724,國都/丹鳳,
A725,國都/民生,
A726,國都/濱江,
A728,國都/板橋,
A729,國都/士林,
A741,國都/竹林保修,
A742,國都/北大保修,
A743,國都/三多保修,
A744,國都/新北大道保修,
A745,國都/五股保修,
A746,國都/長安保修,
A747,國都/南勢角保修,
A748,國都/中正北保修,
A749,國都/國光保修,
A74A,國都/四川保修,
A74B,國都/中華保修,
A74C,國都/文化北保修,
A74D,國都/江子翠保修,
A74E,國都/圓山保修,
A74F,國都/明志保修,
A74G,國都/八里保修,
A74H,國都/莒光保修,
A751,國都/松江LS,
A752,國都/新莊LS,
A753,國都/濱江LS,
A754,國都/中和LS,
A755,國都/士林LS,
A756,國都/三重LS,
A782,國都/T精品,
A785,國都PDS,
A790,國都/北投,
A798,國都/L精品,
B701,北都/南港,
B702,北都/萬大,
B703,北都/新店,
B705,北都/松山,
B706,北都/大安,
B708,北都/內湖,
B70B,北都/雙園精品,
B713,北都/八堵,
B714,北都/文山,
B716,北都/汐止,
B717,北都/安坑,
B718,北都/中正,
B721,北都/深坑,
B722,北都/大武崙,
B725,北都/敦化,
B726,北都/雙園二,
B727,北都/松山分廠,
B730,北都/撫遠,
B731,北都/東湖,
B732,北都/信義,
B736,北都/光復,
B741,北都/基隆保修,
B742,北都/中興保修,
B743,北都/七張保修,
B746,北都/健康保修,
B747,北都/雙園保修,
B748,北都/樂業保修,
B749,北都/民權保修,
B74A,北都/福州保修,
B74B,北都/百福保修,
B74C,北都/萬大保修,
B74D,北都/東湖保修,
B74E,北都/重慶保修,
B74F,北都/瑞芳保修,
B74G,北都/松隆保修,
B74H,北都/富陽保修,
B751,北都/敦南LS,
B752,北都/南港LS,
B753,北都/仁愛LS,
B755,北都/新店LS,
B756,北都/內湖LS,
B761,北都L CPO,
B783,北都/T精品,
B785,北都PDS,
B798,北都/L精品,
C701,桃苗/新竹,
C702,桃苗/桃園,
C703,桃苗/中壢,
C705,桃苗/北桃園,
C706,桃苗/頭份,
C707,桃苗/竹北,
C708,桃苗/竹東,
C709,桃苗/南中壢,
C70C,桃苗/中壢精品,
C711,桃苗/苑裡,
C712,桃苗/八德,
C713,桃苗/苗栗,
C714,桃苗/楊梅,
C715,桃苗/龍潭,
C716,桃苗/平鎮,
C717,桃苗/龜山,
C718,桃苗/南新竹,
C719,桃苗/南崁,
C71E,桃苗/龍潭精品,
C721,桃苗/光復,
C722,桃苗/大崗,
C723,桃苗/桃鶯,
C724,桃苗/桃大,
C725,桃苗/大園,
C726,桃苗/新竹(鈑),
C727,桃苗/新豐,
C728,桃苗/ 楊梅(鈑),
C731,桃苗/大溪保修,
C732,桃苗/春日保修,
C733,桃苗/雙連坡保修,
C737,桃苗/南寮保修,
C738,桃苗/竹南保修,
C739,桃苗/六家保修,
C73B,桃苗/竹中保修,
C73C,桃苗/湖口保修,
C73D,桃苗/新埔保修,
C73E,桃苗/青埔保修,
C73H,桃苗/富國保修,
C740,桃苗/春日中古,
C749,桃苗/中壢板噴,
C751,桃苗/桃園LS,
C752,桃苗/新竹LS,
C753,桃苗/中壢LS,
C754,桃苗/苗栗LS,
C755,桃苗/南崁LS,
C756,桃苗/香山LS,
C783,桃苗/T精品,
C785,桃苗PDS,
C798,桃苗/精品L,
D701,中部/南台中,
D702,中部/中台中,
D703,中部/潭子,
D704,中部/員林,
D705,中部/草屯,
D706,中部/彰化,
D707,中部/大甲,
D708,中部/竹山,
D709,中部/北台中,
D710,中部/豐原,
D711,中部/溪湖,
D712,中部/東台中,
D713,中部/鹿港,
D714,中部/文雅,
D716,中部/埔里,
D717,中部/大里,
D718,中部/北彰化,
D719,中部/南投,
D720,中部/沙鹿,
D721,中部/北斗,
D722,中部/東海,
D723,中部/二林,
D724,中部/大雅,
D725,中部/北豐原,
D728,中部/太平,
D729,中部/大里,
D730,中部/五權,
D731,中部/大雅(鈑),
D741,中部/豐原保修,
D742,中部/中清保修,
D743,中部/社頭保修,
D744,中部/北屯保修,
D745,中部/烏日保修,
D746,中部/和美保修,
D747,中部/秀水保修,
D748,中部/龍井保修,
D749,中部/東勢保修,
D74A,中部/清水保修,
D74B,中部/西屯保修,
D74C,中部/南屯保修,
D74D,中部/神岡保修,
