FRCD,PARTNO,QTY,DATE,TIME
D,5611764010,2.0,2025-07-02,13:31:16
A,90915YZZJ2,40.0,2025-07-02,13:31:30
D,9091510009,150.0,2025-07-02,13:31:30
A,4882033070,7.0,2025-07-02,13:31:35
D,4882028050,2.0,2025-07-02,13:31:35
A,4882047040,5.0,2025-07-02,13:31:35
A,123710M010,1.0,2025-07-02,13:31:35
A,270600T121,2.0,2025-07-02,13:32:07
A,7702402133,2.0,2025-07-02,13:32:07
A,4243102260,2.0,2025-07-02,13:32:07
A,4243178010,2.0,2025-07-02,13:32:07
A,7702452122,1.0,2025-07-02,13:32:07
A,7702402271,12.0,2025-07-02,13:32:07
D,4806848070,1.0,2025-07-02,13:34:33
D,4806948070,1.0,2025-07-02,13:34:33
A,648190D110,4.0,2025-07-02,13:40:40
D,9030111025,1.0,2025-07-02,13:40:40
D,9030108019,3.0,2025-07-02,13:40:40
A,648180A020,3.0,2025-07-02,13:40:40
C,SZ20914017,2.0,2025-07-02,13:40:40
D,7716947030,1.0,2025-07-02,13:40:40
A,8934835030,2.0,2025-07-02,13:40:40
A,9046722014,10.0,2025-07-02,13:40:40
A,7512921010,2.0,2025-07-02,13:40:41
A,6474042161C0,2.0,2025-07-02,17:26:39
S,C90CBNXN51RS,1.0,2025-07-02,17:29:03
D,6924250030,1.0,2025-07-02,17:29:07
A,8112502G80,1.0,2025-07-02,17:29:51
A,8159002C91,1.0,2025-07-02,17:29:56
A,8158002E01,2.0,2025-07-02,17:30:00
A,6791702500C0,1.0,2025-07-02,17:30:08
D,5212778901,1.0,2025-07-02,17:30:09
D,5212778901,1.0,2025-07-02,17:30:09
A,9007560086,1.0,2025-07-02,17:30:23
A,123720T370,2.0,2025-07-03,15:18:16
A,4333009680,4.0,2025-07-03,15:18:16
A,123720T440,2.0,2025-07-03,15:18:16
A,123050H010,2.0,2025-07-03,15:18:16
A,123060H021,2.0,2025-07-03,15:18:16
A,123610H090,2.0,2025-07-03,15:18:16
A,5242133010,2.0,2025-07-02,15:17:38
