finish_time,type,wave_id,is_delayed,date,workstation,total_in_wave,deadline_ts
2025-07-01 00:02:25,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_1,3457,0
2025-07-01 00:01:37,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_9,3457,0
2025-07-01 00:01:17,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_2,3457,0
2025-07-01 00:02:02,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_10,3457,0
2025-07-01 00:00:54,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_3,3457,0
2025-07-01 00:01:44,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_4,3457,0
2025-07-01 00:01:24,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_11,3457,0
2025-07-01 00:01:51,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_12,3457,0
2025-07-01 00:01:02,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_5,3457,0
2025-07-01 00:02:06,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_13,3457,0
2025-07-01 00:01:17,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_14,3457,0
2025-07-01 00:01:20,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_15,3457,0
2025-07-01 00:01:46,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_16,3457,0
2025-07-01 00:02:09,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_15,3457,0
2025-07-01 00:02:05,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_14,3457,0
2025-07-01 00:01:17,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_6,3457,0
2025-07-01 00:01:44,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_7,3457,0
2025-07-01 00:03:03,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_11,3457,0
2025-07-01 00:02:40,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_12,3457,0
2025-07-01 00:03:02,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_16,3457,0
2025-07-01 00:02:36,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_13,3457,0
2025-07-01 00:02:39,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_9,3457,0
2025-07-01 00:04:16,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_10,3457,0
2025-07-01 00:03:09,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_14,3457,0
2025-07-01 00:01:39,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_8,3457,0
2025-07-01 00:02:30,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_3,3457,0
2025-07-01 00:03:03,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_15,3457,0
2025-07-01 00:03:38,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_9,3457,0
2025-07-01 00:03:05,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_2,3457,0
2025-07-01 00:01:44,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_5,3457,0
2025-07-01 00:03:01,RECEIVING,RECEIVING_20250701,N,2025-07-01,WS_13,3457,0
