floor,x,y,count
3F,1,1,14351
3F,1,2,91114
3F,1,3,91114
3F,1,4,91114
3F,1,5,91114
3F,1,6,91114
3F,1,7,91114
3F,0,7,87109
3F,0,8,87109
3F,0,9,87109
3F,0,10,83131
3F,0,11,79272
3F,0,12,75285
3F,0,13,71264
3F,0,14,67306
3F,0,15,63294
3F,0,16,59202
3F,0,17,55254
3F,0,18,51252
3F,0,19,47314
3F,0,20,43368
3F,0,21,39348
3F,0,22,35418
3F,1,22,3901
3F,4,1,14646
3F,3,1,14646
3F,3,2,76763
3F,2,2,76763
3F,0,23,31517
3F,1,23,3895
3F,7,1,14708
3F,6,1,14708
3F,6,2,62117
3F,5,2,62117
3F,4,2,62117
3F,0,24,27622
3F,0,25,23648
3F,1,25,4011
2F,1,1,11847
2F,1,2,75359
2F,1,3,75359
2F,1,4,75359
2F,1,5,75359
2F,1,6,75359
2F,1,7,75359
2F,0,7,71368
2F,0,8,71368
2F,0,9,71368
2F,0,10,67495
2F,0,11,63507
2F,0,12,59544
2F,0,13,55646
2F,0,14,51644
2F,0,15,47688
2F,0,16,43753
2F,0,17,39767
2F,0,18,35792
2F,0,19,31906
2F,0,20,27901
2F,0,21,23852
2F,0,22,19784
2F,0,23,15728
2F,0,24,11785
2F,1,24,3924
3F,10,1,15093
3F,9,1,15093
3F,9,2,47409
3F,8,2,47409
3F,7,2,47409
3F,1,18,3938
3F,13,1,15718
3F,12,1,15718
3F,12,2,32316
3F,11,2,32316
3F,10,2,32316
3F,0,26,19637
3F,0,27,15669
3F,1,27,3869
2F,4,1,12102
2F,3,1,12102
2F,3,2,63512
2F,2,2,63512
2F,1,14,3956
3F,16,1,16598
3F,15,1,16598
3F,15,2,16598
3F,14,2,16598
3F,13,2,16598
3F,0,28,11800
3F,1,28,3955
2F,7,1,12169
2F,6,1,12169
2F,6,2,51410
2F,5,2,51410
2F,4,2,51410
3F,1,8,4005
3F,1,13,3958
2F,10,1,12471
2F,9,1,12471
2F,9,2,39241
2F,8,2,39241
2F,7,2,39241
2F,1,19,4005
3F,1,10,3859
2F,13,1,13007
2F,12,1,13007
2F,12,2,26770
2F,11,2,26770
2F,10,2,26770
3F,1,16,3948
3F,1,24,3974
2F,16,1,13763
2F,15,1,13763
2F,15,2,13763
2F,14,2,13763
2F,13,2,13763
2F,1,12,3898
2F,1,10,3988
2F,1,11,3963
3F,1,9,3978
3F,1,20,4020
2F,0,25,7861
2F,0,26,4040
2F,1,26,4040
2F,1,17,3975
2F,1,25,3821
2F,1,15,3935
3F,1,12,4021
3F,1,17,4002
2F,1,18,3886
2F,1,16,3986
2F,1,9,3873
2F,1,23,3943
3F,1,26,3968
2F,1,22,4056
3F,1,11,3987
3F,1,15,4092
3F,1,21,3930
2F,1,21,4068
2F,1,20,4049
3F,1,14,4012
3F,0,29,7845
3F,0,30,3936
3F,1,30,3936
3F,1,19,3946
2F,1,13,4002
3F,1,29,3909
2F,1,8,3991
